metric,fpr,baseline_fraction,min_baseline,impostor_per_subject,seed,preprocess_key,threshold
mahalanobis:rank=5,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,1.16081977960709
mahalanobis,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,5.054656949403628
mahalanobis:rank=25,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,5.054656949403626
mahalanobis:rank=20,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,4.906921053385767
mahalanobis:rank=15,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,3.7699842941223847
mahalanobis:rank=10,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,2.4954620272917296
euclidean,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,4.225486026156335
cosine,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,0.5851660874956378
gaussian,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,-34.415448061435335
mahalanobis,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,4.106517950615436
mahalanobis:rank=25,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,4.106517950615437
mahalanobis:rank=20,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,3.9884015654895184
mahalanobis:rank=15,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,2.960402529300868
mahalanobis:rank=10,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,1.846565327712467
mahalanobis:rank=5,0.001,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,0.6970454980680822
euclidean,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,5.209024667883312
cosine,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,0.4185865675883498
gaussian,0.01,0.1,1,200,42,abs_values=False|clip=5.0|impute=median|min_variance=None|power_transform=none|scaler=standard|winsorize=None,-38.7752068287905
